Name,Ticker,"Sub_Sector","Market_Cap","Close_Price","PE_Ratio","Recommendations","Overbought_100","change_6m","EverythingAllAtOnce"
MRF Ltd,MRF,"Tires & Rubber","45887.21633422","108520","59.67516266886017","-40","64.11871063970533","1.478752308045256","0.5362250000000001"
Page Industries Ltd,PAGEIND,"Apparel & Accessories","44189.91993753","39504.8","77.3565338074923","18.181818181818173","58.828684223971976","0.4979346189494347","0.34006617647058807"
Honeywell Automation India Ltd,HONAUT,"Electronic Equipments","34806.51200933","39232.9","79.46510812385566","42.85714285714283","60.26387274159304","-0.8801651027769775","0.51025"
3M India Ltd,3MINDIA,"Stationery","36972.91727095","32440.1","81.97622560185805","300","88.46385304561318","2.259249165784144","0.562"
Shree Cement Ltd,SHREECEM,"Cement","92624.87263194","25725.05","72.89279344608453","48.7179487179487","76.8284679639827","0.422294460192453","0.4809324324324323"
Abbott India Ltd,ABBOTINDIA,"Pharmaceuticals","47482.09655155","22793.25","50.012214482204755","228.57142857142856","46.80042866120812","1.2360735425568325","0.5863785714285714"
Nestle India Ltd,NESTLEIND,"FMCG - Foods","209590.41175512","21954.45","87.67565707675323","169.69696969696972","67.89870273231037","0.7141315011341094","0.5691641791044778"
Edelweiss Nifty 50 ETF,NIFTYEES,"Equity","3.5215454999999998","20100",,"0","79.81317263886113","0","0"
Bosch Ltd,BOSCHLTD,"Auto Parts","56234.9335152","19150.8","39.44926938982808","60","68.81305766827592","1.142920982286351","0.5579618644067795"
Yamuna Syndicate Ltd,YSL,"Commodities Trading","531.8951325","17499.95","5.865627839655933","0","20.1294212870983","0","0.332"
Tasty Bite Eatables Ltd,TASTYBITE,"Packaged Foods & Meats","4295.76626","16567.95","142.19683085071165","0","61.01585068173688","-0.47716289945440393","0.34052611940298494"
Kama Holdings Ltd,KAMAHOLD,"Conglomerates","10264.844315825","16170.65","8.187509424612355","0","48.16006771476023","0.08922108817397315","0.3325"
Procter & Gamble Hygiene and Health Care Ltd,PGHH,"FMCG - Personal Products","52946.05727488","16153.75","78.07540813826051","200","75.75883972850244","0.9765767479825438","0.559"
ZF Commercial Vehicle Control Systems India Ltd,ZFCVINDIA,"Auto Parts","28230.024294720002","15349.85","88.8658806142224","220","93.3481809719186","0.029476605982078796","0.4739872881355934"
Lakshmi Machine Works Ltd,LAXMIMACH,"Industrial Machinery","16227.103095","15162.85","42.25698053436114","200","78.1333302959645","-1.1186370869605935","0.3458823529411766"
Wendt (India) Limited,WENDT,"Industrial Machinery","2968.53","14935.1","74.02817955112215","0","86.05302962221496","0.28564999999999974","0.4879264705882354"
DISA India Ltd,DISAQ,"Industrial Machinery","2083.723073475","14434.65","69.99405688528736","0","64.77034193938024","-1.4692563978256175","0.259"
Polson Ltd,POLSON,"Commodity Chemicals","156.9306","13001.6","32.490807453416096","0","49.952366703954404","0","0.2345"
Bombay Oxygen Investments Ltd,BOMOXY-B1,"Conglomerates","179.73","11908.95","36.38259109311741","0","76.48907899187353","0","0"
Kaycee Industries Ltd,KAYCEEI,"Electrical Components & Equipments","74.38715735","11799.95","21.19292232193734","0","46.656284997049966","0","0.251"
Maruti Suzuki India Ltd,MARUTI,"Four Wheelers","313028.9517747","10262.1","38.12312163861888","215","67.45706385146815","0.054167428330087475","0.575"
Cera Sanitaryware Ltd,CERA,"Building Products - Ceramics","12060.802165789999","9299.25","57.59970469358611","220","77.07868384622822","1.2403856903426878","0.5396785714285715"
Bharat Rasayan Ltd,BHARATRAS,"Fertilizers & Agro Chemicals","3878.1116244","9017.05","31.124491367576223","0","54.93832208424766","-0.09489159303322986","0.48608823529411765"
UltraTech Cement Ltd,ULTRACEMCO,"Cement","247408.92510557998","8454.85","48.85680872391963","210","68.97699250936343","-0.12755464138352757","0.5700202702702701"
Maharashtra Scooters Ltd,MAHSCOOTER,"Two Wheelers","8687.31167952","7751.3","44.481882639631344","0","65.25774913443323","0.892596517778955","0.5497500000000002"
Tata Elxsi Ltd,TATAELXSI,"Software Services","45585.1085512","7405.3","60.36323598506318","-128.57142857142858","84.22302480908498","1.2530067550425144","0.4935"
Atul Ltd,ATUL,"Diversified Chemicals","21558.91261485","7399.9","41.93606686543207","-10","76.83186364621935","1.1906211188647493","0.39299999999999985"
Bajaj Finance Ltd,BAJFINANCE,"Consumer Finance","439946.2318888","7345.1","38.23062942161284","193.10344827586206","64.16846761736947","0.659450714072884","0.4893043478260868"
Bajaj Holdings and Investment Ltd,BAJAJHLDNG,"Asset Management","80427.92440415","7176.8","16.58129940792946","0","33.48853413412958","0.42407055002578486","0.80175"
ELANTAS Beck India Ltd,ELANTAS,"Electrical Components & Equipments","5723.54857354","7170.5","58.54094889577572","0","56.96843308767299","0.2881926898682373","0.319"
Sanofi India Ltd,SANOFI,"Pharmaceuticals","16372.58433291","7091.4","26.38186324993557","250","39.57566886587982","0.3272425729535211","0.6786071428571431"
Hawkins Cookers Ltd,HAWKINCOOK,"Housewares","3704.9604579","6979.95","39.090108228529274","0","70.1139726279397","0.12559062675225874","0.3055"
Paushak Ltd,PAUSHAKLTD,"Specialty Chemicals","2069.91694126","6678.75","38.33179520851855","0","60.57834542063293","0.012880769497818705","0.1665"
Linde India Ltd,LINDEINDIA,"Commodity Chemicals","56374.150666345","6605.9","104.77687656372198","300","94.68181538609943","0.02862897631136141","0.659"
Blue Dart Express Ltd,BLUEDART,"Logistics","14824.50132518","6228.1","40.00890973788885","157.14285714285714","52.259286550966024","3.824167750972336","0.3735227272727271"
