Name,Ticker,"Sub-Sector","Market Cap","Close Price","PE Ratio","1Y Return","5Y CAGR","1Y Historical Revenue Growth"
BC Power Controls Ltd,BCP,,"33.4342","4.45","46.43638888888922",,,"2.083333333333326"
BSEL Algo Ltd,BSELALGO,,"97.65310488","11.53","3.8766615672886062","7.056638811513461","49.57593189749496","-26.332440983207604"
Cranes Software International Ltd,CRANESSOFT,,"60.7676946","6.6","-0.6230028152552801","132.63888888888889","38.608813211649775","194.28611738148987"
Empee Distilleries Ltd,EDL,,,,"0",,,"-91.24528907064389"
WINPRO INDUSTRIES LIMITED,WINPRO,,"23.09124741","2.6","-82.46874075",,,
Kennametal India Ltd,KENNAMET,,"7148.8621248","3600.1","81.5149615142532","35.02737979146352",,"8.21917808219177"
Krishna Filament Industries Ltd,KRIFILIND,,"2.33589","3.39","-116.79450000000006","7.961783439490445","-11.544452893201363","-53.33333333333332"
Kirloskar Ferrous Industries Ltd,KIRLFER,,"9151.20636052","708.1","38.43429802822348","46.58937998136839",,"-4.656877147513905"
Hybrid Financial Services Ltd,HYBRIDFIN,,"38.178848675","11.8","19.67981890463917","38.82352941176471",,"43.37016574585637"
Girdharilal Sugar and Allied Industries Ltd,GIRDSGA,,,"10.28","-0.9932367149758454","0",,"-1.2769353551476348"
Satchmo Holdings Ltd,SATCH,,"57.7495116","4.08","3.6550323797468294","36.454849498327754","14.097345757450675","-35.74519230769231"
PBA Infrastructure Ltd,PBAINFRA,,"16.430183954","11.02","6.67893656666668","36.38613861386138","23.731306739312828","407.9567154678546"
Salora International Ltd,SALORAINTL,,"54.4643432","60.02","-26.059494354066718","79.11071321993437","37.391892004269025","35.27269647696476"
Shilpi Cable Technologies Ltd,SHILPI,,,"1.15","0","0","-38.28951743443524","-1.5248874347429164"
Spicejet Ltd,SPICEJET,,"4734.1147048309995","54.89","-3.1294345504148007","84.93935309973045",,"29.703402380434408"
Popees Cares Ltd,POPEES,,"78.26043","114.3","-31.943032653061227","3213.0434782608695","110.58499833857036",
Vikas Proppant & Granite Ltd,VIKASPROP,,"27.277775","0.54","-2.394888059701493","-15.624999999999996",,"239.08045977011497"
Vikas WSP Ltd,VIKASWSP,,"26.577148","1.62","-0.812011854567675","21.80451127819549",,"-98.91774891774891"
Waterbase Ltd,WATERBASE,,"299.432758612","82.07","-28.65385249875593","7.632786885245893",,"11.613197704747002"
Vishal Fabrics Ltd,VISHAL,,"402.72918611399996","22.05","19.050576448155255","22.841225626740954",,"-6.481773837063187"
Billwin Industries Ltd,BILLWIN,,"19.909485056","43","24.88685632","52.26138741348786",,"2.9045643153526868"
Nirmitee Robotics India Ltd,NIRMITEE,,"54.39594474","143.5","-56.07829354639175","36.666666666666664",,"12.037037037037045"
Cospower Engineering Ltd,COSPOWER,,"41.1","220","411.00000000000665","-14.0625",,"59.916201117318415"
Tranway Technologies Ltd,TRANWAY,,"7.0058068","9","-38.92114888888899","12.359550561797757",,"-42.24664224664224"
Assam Entrade Ltd,ASSAMENT,,"48.28335765","334.25","36.30327642857141","-2.862539959314159",,"16.797488226059663"
RO Jewels Ltd,ROJL,,"19.37144832","5.15","20.829514322580184","-26.21776504297994",,"-27.50167633021733"
Valencia Nutrition Ltd,VALENCIA,,"44.485611426","40","-32.23595030869564","161.24581598497838",,"13.013698630136993"
Chandra Bhagat Pharma Ltd,CBPL,,"87.86217712","79.75","57.804063894737155","-36.2",,"93.98132710903633"
Bonlon Industries Ltd,BONLON,,"48.166683768","36.2","20.761501624138116","9.398609851919007",,"-15.794505580270036"
Anuroop Packaging Ltd,ANUROOP,,"21.485945","23.12","5.266162990196075","-20.957264957264954",,"27.68135291499778"
Misquita Engineering Ltd,MISQUITA,,"24.1878","65.8","-86.38499999999972","60.48780487804877",,"2.104208416833653"
Gian Life Care Ltd,GIANLIFE,,"19.690261696","21.85","4.733235984615385","-1.753597122302145",,"9.270998415213949"
Goblin India Ltd,GOBLIN,,"71.8581552","43.55","29.092370526315783","-30.774121761246228",,"15.227668574272224"
Gensol Engineering Ltd,GENSOL,,"3554.37138345","1066.65","59.677155531396956","218.64077669902917",,"150.63925101927822"
Murae Organisor Ltd,MURAE,,"42.256086677999996","1.46","845.1217335600055","-29.12621359223301",,"-75.16819571865445"
Roopshri Resorts Ltd,ROOPSHRI,,"28.269682319999998","39.16","64.24927799999998","15.176470588235285","14.09944478413463","163.38028169014086"
Humming Bird Education Ltd,HBEL,,"38.619","628.4","-772.380000000002","99.49206349206348","36.625715404584994","111.02941176470588"
Jonjua Overseas Ltd,JONJUA,,"7.861936288","10.5","6.444210072131146","-3.429462197973491","14.48435755676265","-3.2332563510392487"
Janus Corporation Ltd,JANUSCORP,,"9.494219","6.7","25.660051351351374","56.17715617715618",,"8.115619788771555"
Raconteur Global Resources Ltd,RACONTEUR,,"6.9176732","23.01","6.232138018018019","-14.460966542750919","-14.79902791710419","2357.142857142857"
Parvati Sweetners and Power Ltd,PARVATI,,"165.25134923599998","13.38","116.37418960281717","115.45893719806766","54.36103162771631","-9.552640430541537"
Palm Jewels Limited,PALMJEWELS,,"19.2786432","21.42","62.18917161290311","66.17532971295579","4.792440036298662","-12.294722051462193"
U H Zaveri Ltd,UHZAVERI,,"24.41463","21.45","37.56096923076914","-52.152576399732325","26.58337541579836","39.30987821380243"
Goyal Aluminiums Ltd,GOYALALUM,,"140.5917883","9.21","54.918667304687496","-32.773722627737214",,"3.9479655120254087"
Kenvi Jewels Ltd,KENVI,,"74.94344318200001","6.16","113.55067148787921","-59.416445623342184","67.44299050047213","37.53964657906661"
